case_id,patient,sequence,t1c_bytes,t1c_shape,t1c_min,t1c_max,t1c_mean,t1c_std,t1c_nonzero_pct,t1n_bytes,t1n_shape,t1n_min,t1n_max,t1n_mean,t1n_std,t1n_nonzero_pct,t2f_bytes,t2f_shape,t2f_min,t2f_max,t2f_mean,t2f_std,t2f_nonzero_pct,t2w_bytes,t2w_shape,t2w_min,t2w_max,t2w_mean,t2w_std,t2w_nonzero_pct,seg_bytes,seg_shape,seg_nunique,seg_non-enhancing core (NCR)_voxels,seg_non-enhancing core (NCR)_mm3,seg_whole tumor (WST)_voxels,seg_whole tumor (WST)_mm3,tumor_tumor_core_voxels,tumor_tumor_core_mm3,tumor_whole_tumor_voxels,tumor_whole_tumor_mm3,tumor_edema_only_voxels,tumor_edema_only_mm3,tumor_enhancing_only_voxels,tumor_enhancing_only_mm3,tumor_volume_fraction,seg_enhancing core (ET)_voxels,seg_enhancing core (ET)_mm3,seg_edema (ET)_voxels,seg_edema (ET)_mm3
BraTS-GLI-00005-100,00005,100,4443215,"182,218,182",0.0,8183.82373046875,357.1735534667969,825.2267456054688,17.158696984032197,4432342,"182,218,182",0.0,4300.9189453125,293.48004150390625,668.3679809570312,17.158696984032197,4516599,"182,218,182",0.0,1406.898681640625,80.0901870727539,189.46824645996094,17.15833692469442,4501751,"182,218,182",0.0,2519.352783203125,121.6628646850586,307.92449951171875,17.158696984032197,34996,"182,218,182",3,22960,22960.0,4246.0,4246.0,22960,22960.0,4246,4246.0,0,0.0,0,0.0,0.000588004595465025,,,,
BraTS-GLI-00005-101,00005,101,4223234,"182,218,182",0.0,7013.974609375,331.4726257324219,767.34033203125,16.514204617844097,4240126,"182,218,182",0.0,4595.9208984375,288.7283935546875,665.3130493164062,16.514204617844097,4323607,"182,218,182",0.0,1222.2093505859375,75.28929901123047,181.30825805664062,16.514204617844097,4235976,"182,218,182",0.0,2707.994384765625,129.9529571533203,328.25732421875,16.514204617844097,34626,"182,218,182",3,23658,23658.0,3641.0,3641.0,23658,23658.0,3641,3641.0,0,0.0,0,0.0,0.0005042215572510965,,,,
BraTS-GLI-00006-100,00006,100,5199615,"182,218,182",0.0,7779.4052734375,452.5072326660156,939.7010498046875,20.272046987189643,5218197,"182,218,182",0.0,3958.549560546875,494.7358703613281,1033.4791259765625,20.272046987189643,5235863,"182,218,182",0.0,985.1010131835938,76.3447494506836,163.61585998535156,20.271160687281263,5207565,"182,218,182",0.0,2482.30419921875,149.04150390625,331.0892028808594,20.272046987189643,37542,"182,218,182",3,17907,17907.0,22074.0,22074.0,17907,17907.0,22074,22074.0,0,0.0,0,0.0,0.003056903777742572,,,,
BraTS-GLI-00006-101,00006,101,5130891,"182,218,182",0.0,7927.17529296875,422.9576416015625,872.3861083984375,20.178293075006454,5195378,"182,218,182",0.0,4378.68359375,366.1366882324219,749.024169921875,20.178293075006454,5260020,"182,218,182",0.0,1207.9017333984375,93.1076431274414,196.96966552734375,20.178293075006454,5178498,"182,218,182",0.0,2635.57861328125,151.12892150878906,341.5119934082031,20.178293075006454,37628,"182,218,182",3,18747,18747.0,18491.0,18491.0,18747,18747.0,18491,18491.0,0,0.0,0,0.0,0.0025607143134111577,,,,
BraTS-GLI-00008-100,00008,100,5016402,"182,218,182",0.0,7829.083984375,405.8455810546875,861.8387451171875,19.517570341746165,5037021,"182,218,182",0.0,3785.478271484375,441.2749328613281,935.8543701171875,19.517570341746165,5074515,"182,218,182",0.0,1396.8680419921875,108.09768676757812,234.4747314453125,19.517251827716592,5096160,"182,218,182",0.0,2365.060302734375,129.92050170898438,298.76458740234375,19.517570341746165,32516,"182,218,182",4,6976,6976.0,1816.0,1816.0,7111,7111.0,1816,1816.0,0,0.0,135,135.0,0.0002514875990024695,135.0,135.0,,
BraTS-GLI-00008-101,00008,101,4785582,"182,218,182",0.0,7818.44677734375,436.453369140625,932.360595703125,18.909056212463817,4845142,"182,218,182",0.0,4086.9140625,442.2423095703125,938.9100341796875,18.909056212463817,4882688,"182,218,182",0.0,1451.2113037109375,111.10909271240234,243.36143493652344,18.909056212463817,4833218,"182,218,182",0.0,2682.56494140625,143.70724487304688,336.96954345703125,18.909056212463817,32716,"182,218,182",4,7771,7771.0,1903.0,1903.0,7837,7837.0,1903,1903.0,0,0.0,66,66.0,0.00026353573838199304,66.0,66.0,,
BraTS-GLI-00008-102,00008,102,5298943,"182,218,182",0.0,6494.75732421875,472.5458068847656,987.4266967773438,20.49136466920518,5339326,"182,218,182",0.0,3664.204345703125,429.96044921875,907.5805053710938,20.49136466920518,5260630,"182,218,182",0.0,2396.943359375,185.2871856689453,393.66461181640625,20.490769186454237,5325478,"182,218,182",0.0,5491.56640625,330.5443115234375,727.7755737304688,20.49136466920518,34419,"182,218,182",4,14891,14891.0,1891.0,1891.0,15428,15428.0,1891,1891.0,0,0.0,537,537.0,0.0002618739260537829,537.0,537.0,,
BraTS-GLI-00008-103,00008,103,4960317,"182,218,182",0.0,8919.361328125,598.0769653320312,1255.8758544921875,19.630490489448047,5069309,"182,218,182",0.0,3923.2724609375,443.29876708984375,948.1773681640625,19.630490489448047,5003226,"182,218,182",0.0,2332.466064453125,169.94007873535156,364.90472412109375,19.630490489448047,5046547,"182,218,182",0.0,5495.7421875,335.40130615234375,751.69189453125,19.630490489448047,33134,"182,218,182",4,9588,9588.0,1756.0,1756.0,9766,9766.0,1756,1756.0,0,0.0,178,178.0,0.0002431785373614187,178.0,178.0,,
BraTS-GLI-00009-100,00009,100,4902449,"182,218,182",0.0,8411.6337890625,436.635498046875,945.0016479492188,19.137084560766386,4944358,"182,218,182",0.0,4874.15185546875,442.0665283203125,949.73974609375,19.137084560766386,4975745,"182,218,182",0.0,2019.424560546875,119.24140930175781,266.39654541015625,19.136793743608944,5014082,"182,218,182",0.0,2509.149658203125,135.54727172851562,321.0091857910156,19.137084560766386,295569,"182,218,182",5,73175,73175.0,2984.0,2984.0,79486,79486.0,2984,2984.0,177,177.0,6311,6311.0,0.00041323733228159075,6311.0,6311.0,177.0,177.0
BraTS-GLI-00009-101,00009,101,4664517,"182,218,182",0.0,7714.23681640625,419.96942138671875,915.2122802734375,18.37129374305501,4725635,"182,218,182",0.0,5555.82373046875,432.1772766113281,936.31494140625,18.37129374305501,4734161,"182,218,182",0.0,2011.756591796875,112.32706451416016,253.4443817138672,18.37129374305501,4757121,"182,218,182",0.0,2579.12744140625,134.13832092285156,324.65789794921875,18.37129374305501,48645,"182,218,182",5,81545,81545.0,727.0,727.0,92879,92879.0,727,727.0,559,559.0,11334,11334.0,0.0001006781302173983,11334.0,11334.0,559.0,559.0
