case_id,patient,sequence,t1c_bytes,t1c_shape,t1c_min,t1c_max,t1c_mean,t1c_std,t1c_nonzero_pct,t1n_bytes,t1n_shape,t1n_min,t1n_max,t1n_mean,t1n_std,t1n_nonzero_pct,t2f_bytes,t2f_shape,t2f_min,t2f_max,t2f_mean,t2f_std,t2f_nonzero_pct,t2w_bytes,t2w_shape,t2w_min,t2w_max,t2w_mean,t2w_std,t2w_nonzero_pct
BraTS-GLI-02073-100,02073,100,11022682,"182,218,182",0.0,6626.46533203125,312.3879699707031,686.3789672851562,19.430242103898724,11033972,"182,218,182",0.0,2949.921142578125,275.31182861328125,603.438232421875,19.430242103898724,11006446,"182,218,182",0.0,1818.91455078125,150.8396453857422,318.791748046875,19.43022825546265,11028952,"182,218,182",0.0,2340.14697265625,149.2113037109375,349.8436279296875,19.430020528921627
BraTS-GLI-02073-101,02073,101,10735588,"182,218,182",0.0,2149.138916015625,75.97479248046875,165.4170379638672,18.953689721912326,10744761,"182,218,182",0.0,1567.6837158203125,68.56956481933594,148.9452667236328,18.953689721912326,10758590,"182,218,182",0.0,808.9630737304688,39.54112243652344,86.86356353759766,18.95364817660412,10771358,"182,218,182",0.0,1487.7413330078125,98.86790466308594,225.3211212158203,18.953675873476257
BraTS-GLI-02095-100,02095,100,10141033,"182,218,182",0.0,1146.6436767578125,43.052879333496094,98.543212890625,17.810570566644767,10152382,"182,218,182",0.0,500.1510925292969,38.05694580078125,87.17160034179688,17.810570566644767,10147953,"182,218,182",0.0,532.1810913085938,33.10033416748047,74.81853485107422,17.810570566644767,10159671,"182,218,182",0.0,1146.2716064453125,73.33878326416016,171.3664093017578,17.8105567182087
BraTS-GLI-02095-101,02095,101,10305119,"182,218,182",0.0,2218.04150390625,75.99064636230469,171.52101135253906,18.10572228457096,10306141,"182,218,182",0.0,1492.759521484375,67.34742736816406,150.0054931640625,18.10572228457096,10316608,"182,218,182",0.0,1035.939453125,40.11116027832031,91.28252410888672,18.10572228457096,10334194,"182,218,182",0.0,2065.44287109375,121.63929748535156,288.50360107421875,18.10572228457096
BraTS-GLI-02095-102,02095,102,10209305,"182,218,182",0.0,8060.6103515625,241.6295623779297,559.92138671875,17.91928078978185,10215502,"182,218,182",0.0,3142.341796875,205.82737731933594,476.8326416015625,17.91928078978185,10199526,"182,218,182",0.0,427.89190673828125,28.462305068969727,63.856727600097656,17.91928078978185,10232743,"182,218,182",0.0,1051.4969482421875,56.7322883605957,134.9615478515625,17.91928078978185
BraTS-GLI-02097-100,02097,100,10903798,"182,218,182",0.0,1735.21875,76.75181579589844,164.3272705078125,19.266428953645406,10902557,"182,218,182",0.0,618.01953125,68.3126449584961,144.2379150390625,19.266428953645406,10919751,"182,218,182",0.0,1007.7303466796875,48.989646911621094,106.46308898925781,19.266428953645406,10965907,"182,218,182",0.0,1953.078125,103.30107116699219,251.225830078125,19.266428953645406
BraTS-GLI-02097-101,02097,101,10915472,"182,218,182",0.0,1933.07275390625,82.29659271240234,177.06402587890625,19.27376862476167,10912799,"182,218,182",0.0,913.4844970703125,72.62364196777344,153.3411865234375,19.27376862476167,10925531,"182,218,182",0.0,972.00830078125,53.011600494384766,115.54920959472656,19.27376862476167,10973478,"182,218,182",0.0,2496.629150390625,114.65960693359375,281.85101318359375,19.27376862476167
BraTS-GLI-02109-100,02109,100,13224854,"182,218,182",0.0,2211.611572265625,100.58507537841797,189.6551055908203,23.533353681302064,13239918,"182,218,182",0.0,1604.7581787109375,89.97809600830078,169.3544158935547,23.533353681302064,13227262,"182,218,182",0.0,888.1880493164062,57.53260040283203,108.27998352050781,23.533353681302064,13264913,"182,218,182",0.0,1859.68505859375,132.9031219482422,260.20135498046875,23.533353681302064
BraTS-GLI-02109-101,02109,101,13246636,"182,218,182",0.0,2013.6904296875,94.26744842529297,177.489013671875,23.573611084952955,13259114,"182,218,182",0.0,1205.6531982421875,85.53163146972656,161.08868408203125,23.573611084952955,13246472,"182,218,182",0.0,961.8807983398438,55.104915618896484,104.02693176269531,23.573611084952955,13292492,"182,218,182",0.0,1873.29638671875,129.07763671875,258.2974548339844,23.573597236516886
BraTS-GLI-02109-102,02109,102,13297308,"182,218,182",0.0,320.9279479980469,17.108304977416992,32.50619888305664,23.684786329710214,13323083,"182,218,182",0.0,153.747314453125,15.476183891296387,29.475522994995117,23.684786329710214,13306009,"182,218,182",0.0,198.4972381591797,13.566169738769531,25.35824966430664,23.684564754733117,13342761,"182,218,182",0.0,326.954833984375,25.01313591003418,48.77688980102539,23.684772481274145
